天数 结余 购买 工作中 cpuRatio ramRatio addcnt delcnt
0 883194 883194 19 0.282798 0.217756 56 0
1 1604882 721688 34 0.222836 0.200382 45 0
2 2158201 553319 46 0.231282 0.197296 37 2
3 2802667 644466 60 0.2055 0.169761 46 1
4 3289515 486848 70 0.219131 0.166615 37 2
5 4020426 730911 83 0.211849 0.154973 44 0
6 4661622 641196 97 0.229426 0.155857 42 1
7 5275097 613475 109 0.214085 0.160431 40 4
8 5729021 453924 119 0.206096 0.146116 42 4
9 6013905 284884 124 0.180847 0.138557 45 7
10 6587699 573794 134 0.18405 0.148155 46 11
11 7037235 449536 143 0.166879 0.14623 37 5
12 7593403 556168 154 0.17127 0.159661 33 6
13 8161191 567788 165 0.164833 0.177594 36 7
14 8613391 452200 173 0.16669 0.178716 35 7
15 9096174 482783 183 0.165065 0.166188 41 5
16 9490316 394142 190 0.157619 0.163383 35 9
17 10116604 626288 203 0.160825 0.171045 40 6
18 10647961 531357 213 0.160613 0.160135 41 9
19 10940504 292543 218 0.153705 0.162923 33 10
20 11420050 479546 227 0.152919 0.16276 43 11
21 11917171 497121 238 0.14929 0.156987 44 7
22 12315904 398733 246 0.148591 0.155491 33 5
23 12672404 356500 254 0.152418 0.158487 27 7
24 13125848 453444 262 0.148616 0.162193 36 10
25 13648329 522481 273 0.143895 0.153521 49 8
26 14153401 505072 282 0.143718 0.154377 41 10
27 14669813 516412 293 0.153263 0.152474 31 8
28 15240693 570880 305 0.160591 0.147458 44 6
29 15839844 599151 317 0.157935 0.150088 46 7
30 16513159 673315 329 0.156051 0.14514 42 3
31 16981779 468620 337 0.150082 0.150648 33 8
32 17329060 347281 343 0.148866 0.148529 38 10
33 17563457 234397 348 0.150316 0.143826 31 8
34 17885375 321918 354 0.145683 0.139774 35 5
35 18208676 323301 361 0.144724 0.139125 35 12
36 18614263 405587 369 0.145092 0.139396 28 6
37 19006119 391856 375 0.139369 0.14361 33 6
38 19573346 567227 386 0.142065 0.145099 39 8
39 19995764 422418 394 0.140591 0.145542 34 10
40 20568009 572245 405 0.136751 0.142447 44 3
41 20932117 364108 413 0.131727 0.142319 37 12
42 21133366 201249 417 0.127901 0.143721 34 8
43 21381994 248628 422 0.127447 0.138104 32 6
44 21612307 230313 427 0.12461 0.126851 37 6
45 22114058 501751 437 0.124752 0.128541 45 10
46 22479672 365614 445 0.127734 0.130721 34 13
47 22845736 366064 453 0.126711 0.129293 39 10
48 23295924 450188 463 0.128074 0.130686 32 6
49 23907761 611837 474 0.134651 0.136965 36 8
50 24083036 175275 478 0.134355 0.136981 32 14
51 24507577 424541 486 0.129611 0.132552 40 12
52 24951598 444021 495 0.134413 0.138134 35 22
53 25176018 224420 499 0.133049 0.143019 30 15
54 25571072 395054 506 0.13402 0.144734 36 16
55 25968154 397082 513 0.137546 0.150751 37 18
56 26340213 372059 519 0.134789 0.148734 41 13
57 26640558 300345 525 0.135799 0.145001 39 14
58 26873988 233430 530 0.136419 0.139461 38 14
59 27223075 349087 536 0.136181 0.141496 29 14
60 27441929 218854 540 0.13336 0.138229 32 10
61 27840806 398877 547 0.135731 0.14012 37 14
62 28322565 481759 558 0.135814 0.139942 42 8
63 28527614 205049 563 0.139185 0.13847 33 17
64 28829119 301505 569 0.146234 0.142001 32 21
65 29108955 279836 574 0.149199 0.142738 31 15
66 29430634 321679 581 0.150775 0.146799 30 17
67 29605483 174849 584 0.144956 0.144471 43 17
68 30061838 456355 593 0.143265 0.15199 44 22
69 30558903 497065 602 0.147843 0.155479 32 14
70 30667874 108971 604 0.147789 0.154711 35 23
71 30891332 223458 608 0.149858 0.15042 31 15
72 31239435 348103 615 0.150075 0.150089 40 13
73 31580608 341173 621 0.149472 0.147777 32 12
74 31818475 237867 624 0.15221 0.148821 34 20
75 31998354 179879 628 0.15206 0.147407 31 15
76 32351010 352656 635 0.150813 0.143751 44 13
77 32731217 380207 642 0.154132 0.144957 40 21
78 33099806 368589 650 0.154889 0.145171 41 17
79 33212151 112345 652 0.158313 0.14957 33 22
80 33466345 254194 657 0.15508 0.150588 38 15
81 33672597 206252 661 0.155141 0.14972 39 19
82 33873846 201249 665 0.151547 0.147521 31 9
83 34213573 339727 672 0.150103 0.147885 43 19
84 34617872 404299 680 0.147494 0.14876 39 15
85 34998357 380485 688 0.146531 0.144876 44 14
86 35128307 129950 690 0.146622 0.143134 27 15
87 35666249 537942 699 0.151218 0.146981 38 15
88 35706933 40684 700 0.149412 0.146677 29 19
89 35961127 254194 705 0.14679 0.147013 40 17
90 36158611 197484 709 0.146343 0.146231 27 8
91 36431406 272795 714 0.146318 0.144634 30 13
92 36948512 517106 724 0.146185 0.143855 42 14
93 37216426 267914 729 0.142233 0.140543 36 7
94 37380791 164365 733 0.143304 0.139541 29 16
95 37833847 453056 741 0.145869 0.144297 40 22
96 38192960 359113 748 0.144549 0.14741 37 19
97 38437447 244487 752 0.141336 0.142949 41 11
98 38859867 422420 760 0.143764 0.145125 41 20
99 39022603 162736 763 0.141257 0.140159 35 13
100 39338368 315765 771 0.140294 0.138045 44 11
101 39579481 241113 775 0.141682 0.142979 35 28
102 40077770 498289 785 0.140682 0.149607 36 18
103 40291280 213510 789 0.138203 0.148716 37 16
104 40548561 257281 794 0.139168 0.150161 34 24
